,quality,article_length,num_wikilinks,num_external_links,num_images,info_noise,num_refs,num_headings
Arctic policy of Russia,2.0,2918,338,80,8,0.28889650445510623,70,12
Anne Innis Dagg,2.0,234,39,16,0,0.43162393162393164,7,6
All This and World War II,2.0,478,205,12,2,0.49581589958158995,9,11
2002 Australian Grand Prix,2.0,1436,300,12,1,0.28064066852367686,8,9
2006–07 Serie C2,2.0,263,417,3,1,0.34220532319391633,1,20
Leo August,2.0,350,34,3,0,0.3628571428571429,0,7
Chicago American Giants,2.0,563,222,8,2,0.3925399644760213,3,9
1971 Giro d'Italia,2.0,337,263,21,3,0.34718100890207715,1,12
Banksia micrantha,2.0,388,79,7,0,0.4097938144329897,7,7
Women in the Marshall Islands,2.0,218,538,9,2,0.43577981651376146,1,7
1934 in Canadian football,2.0,114,240,2,0,0.45614035087719296,2,17
1939 College Football All-America Team,2.0,180,277,7,0,0.4777777777777778,15,14
Cattery,2.0,453,35,6,3,0.32229580573951433,0,6
Laurence Galian,2.0,586,46,17,1,0.4249146757679181,1,8
Niamey Urban Community,2.0,1177,383,25,8,0.3721325403568394,13,9
Darwinism,2.0,1532,227,38,4,0.32049608355091386,26,8
Additive Markov chain,2.0,265,32,5,0,0.23018867924528302,1,7
Open lung ventilation,2.0,93,26,7,1,0.4946236559139785,2,5
Bristol Central Library,2.0,463,217,9,4,0.4060475161987041,14,7
Roger Cressey,2.0,301,34,4,0,0.4219269102990033,4,2
Aniliidae,2.0,266,117,8,2,0.49624060150375937,6,9
"Alexandria, New South Wales",2.0,973,156,13,10,0.39157245632065774,9,13
Teryl Rothery,2.0,460,122,12,1,0.40217391304347827,6,9
Liona Boyd,2.0,1289,148,22,2,0.34367726920093095,14,19
Autonomous system (mathematics),2.0,812,145,4,2,0.2733990147783251,5,13
KROV-FM,2.0,48,18,3,0,0.5208333333333334,1,1
Terrytoons,2.0,1472,278,18,3,0.34171195652173914,7,16
2011 PBA Governors' Cup,2.0,214,221,19,1,0.4158878504672897,13,15
Andrew Breitbart,2.0,1450,267,69,4,0.41517241379310343,53,12
Daryl Corletto,2.0,310,115,19,0,0.4096774193548387,13,9
Saint Lucia at the 2011 Pan American Games,2.0,61,92,3,3,0.5081967213114754,1,8
Christian Abbiati,2.0,1366,294,24,4,0.3323572474377745,3,17
Clark Avenue Railroad Underpass,2.0,120,160,7,1,0.45,4,3
Kim A. Wilcox,2.0,134,37,9,0,0.4701492537313433,4,3
Lempa River,2.0,255,80,8,4,0.4235294117647059,3,2
2008 in Swedish football,2.0,463,325,7,1,0.22462203023758098,0,21
Charitable contribution deductions in the United States,2.0,1661,107,4,1,0.19024683925346178,1,17
Amsterdam University Press,2.0,284,49,12,2,0.4647887323943662,6,6
Human rights in Eritrea,2.0,1083,330,51,5,0.3471837488457987,37,9
American yellow warbler,2.0,2414,275,29,10,0.2986743993371997,24,10
Tiberius Claudius Maximus,2.0,1285,120,5,4,0.3610894941634241,20,11
2012 South Korea national football team season,2.0,249,584,10,0,0.39357429718875503,0,13
Forward-swept wing,2.0,1326,118,4,6,0.30693815987933637,5,16
Naomi Folkard,2.0,400,45,3,0,0.4,3,6
1992 New York Jets season,2.0,422,230,5,0,0.4099526066350711,0,10
Mind (charity),2.0,881,108,21,2,0.3564131668558456,20,9
Regional Mexican Airplay,2.0,137,250,7,0,0.48905109489051096,1,5
Christiaan Cornelissen,2.0,519,39,12,1,0.4142581888246628,0,1
Archeology in Algeria,2.0,724,43,1,1,0.4088397790055249,0,1
Charlotte Street Hotel,2.0,180,108,8,1,0.4888888888888889,3,2
Eastern Asiatic Region,2.0,350,247,4,3,0.46285714285714286,1,8
2010 ASA Midwest Tour season,2.0,52,144,2,0,0.6538461538461539,1,3
A Glimmer of Hope Foundation,2.0,221,77,21,0,0.45701357466063347,22,6
Belvoir (RTA Rapid Transit station),2.0,193,39,2,0,0.44559585492227977,3,5
Joaquín Albareda y Ramoneda,2.0,321,63,10,1,0.43302180685358255,0,3
Certified Public Accountant,2.0,2131,139,17,1,0.2318160488033787,14,14
Economy of El Salvador,2.0,2432,209,15,3,0.3120888157894737,9,11
Blue Sky with a White Sun,2.0,913,254,7,9,0.27053669222343923,0,8
Politics of Morocco,2.0,777,297,13,4,0.46589446589446587,5,9
"Robert L. Bradley, Jr.",2.0,486,57,15,0,0.4547325102880658,13,5
"All Saints Church, Haggerston",2.0,207,58,10,0,0.5072463768115942,6,5
In the City of Sylvia,2.0,181,39,7,1,0.43646408839779005,2,5
Academic bias,2.0,826,147,42,0,0.3353510895883777,27,7
1943 Copa del Generalísimo,2.0,76,419,8,0,0.47368421052631576,1,8
ICC East Asia-Pacific,2.0,265,98,9,0,0.35094339622641507,4,7
Chris Taylor (baseball),2.0,558,135,14,1,0.3727598566308244,10,5
Francis Ernest Brown,2.0,141,17,2,0,0.5035460992907801,2,2
Ji (surname 季),2.0,396,89,13,1,0.35858585858585856,5,7
Cosmophasis umbratica,2.0,137,28,2,0,0.46715328467153283,1,3
Campobello Island,2.0,1121,281,18,3,0.3853702051739518,3,15
Erick Aybar,2.0,500,174,11,4,0.41,1,7
Ashwini Kumar Chopra,2.0,295,372,18,5,0.46779661016949153,7,5
Dignity,2.0,3232,346,43,1,0.25773514851485146,60,30
Metalhawk,2.0,714,418,7,0,0.3627450980392157,12,6
Västergötland Runic Inscription 73,2.0,618,62,7,2,0.3414239482200647,5,7
Dalkon Shield,2.0,799,149,31,2,0.35544430538172717,8,6
Google Buzz,2.0,1554,487,47,1,0.3281853281853282,38,10
King's Heralds,2.0,288,133,8,5,0.4340277777777778,4,10
Alaungpaya,2.0,3500,464,15,8,0.29428571428571426,1,30
Jamshid,2.0,1643,194,8,2,0.35057821059038347,3,9
Office of National Assessments,2.0,566,80,13,2,0.37985865724381623,5,10
Chenanisuchus,2.0,169,153,7,5,0.47928994082840237,3,5
Taiwanese Australian,2.0,798,316,9,4,0.3107769423558897,0,7
Frederic Aldin Hall,2.0,453,73,4,1,0.37527593818984545,0,2
Chinese Arctic and Antarctic Administration,2.0,382,56,11,1,0.39267015706806285,9,5
Claire Buffie,2.0,247,194,12,1,0.4979757085020243,8,3
Commission Junction,2.0,125,30,6,2,0.448,3,5
Bubble ring,2.0,941,86,32,7,0.27523910733262485,16,11
"Atchison County, Kansas",2.0,560,383,47,6,0.35714285714285715,14,16
"Bilbul, New South Wales",2.0,102,365,12,2,0.47058823529411764,6,2
John Eliot Coit,2.0,551,54,6,1,0.38656987295825773,5,7
Protocol III,2.0,489,62,11,5,0.3374233128834356,6,6
Equine infectious anemia,2.0,723,104,12,2,0.3665283540802213,7,6
List of Presidents of the National Assembly of Madagascar,2.0,57,11,0,0,0.22807017543859648,0,1
Mirta Aguirre,2.0,99,26,5,3,0.5757575757575758,3,5
"Expanse, Saskatchewan",2.0,319,123,11,1,0.42946708463949845,5,7
Stanley Jackson,2.0,600,428,12,4,0.43666666666666665,13,9
Bantu expansion,2.0,1199,159,38,1,0.3419516263552961,28,14
Battle of Pokoku and Irrawaddy River operations,2.0,1761,324,5,4,0.2833617262918796,3,8
Next (2007 film),2.0,2916,201,36,2,0.30212620027434844,25,13
896th Helicopter Reconnaissance and Liaison Squadron,2.0,184,25,0,0,0.44565217391304346,1,5
Kishanganj railway station,2.0,122,167,7,3,0.4918032786885246,3,5
Carlo Suarès,2.0,936,45,6,0,0.3995726495726496,0,14
Dering Roll,2.0,506,69,6,7,0.3893280632411067,8,5
Inspecter 7,2.0,182,79,19,3,0.5,7,8
1993–94 Watford F.C. season,2.0,232,413,7,2,0.4396551724137931,2,12
Application layer DDoS attack,2.0,439,54,15,1,0.34851936218678814,8,7
Michelle Connor,2.0,3297,421,16,1,0.25659690627843496,16,10
Virginia State Route 254,2.0,473,86,8,2,0.3044397463002114,3,5
1928 Australian Grand Prix,2.0,174,54,1,0,0.4482758620689655,5,7
Fulvous harvest mouse,2.0,518,211,7,0,0.44787644787644787,3,5
Ikki Kita,2.0,1362,468,21,2,0.36123348017621143,2,11
Hex – The Legend of the Towers,2.0,1055,106,6,2,0.3184834123222749,2,8
Color correction,2.0,568,35,4,1,0.31690140845070425,2,5
Codemasters,2.0,1243,217,27,4,0.3797264682220434,18,7
"ANZAC Square, Brisbane",2.0,1792,181,16,12,0.2857142857142857,5,9
Chaidamuite,2.0,90,41,3,0,0.5,4,2
Wet Suit (G.I. Joe),2.0,811,303,8,1,0.4007398273736128,17,16
Port of Dives-sur-Mer,2.0,669,43,5,2,0.40059790732436473,0,3
Cleveland Clinic fire of 1929,2.0,308,23,6,1,0.4577922077922078,5,3
Kuntu Repertory Theatre,2.0,212,615,15,6,0.4716981132075472,8,5
Baklahorani,2.0,670,124,12,3,0.4059701492537313,10,5
Caemi,2.0,430,76,14,2,0.3558139534883721,14,6
Bob Stein (American football),2.0,498,320,7,0,0.4718875502008032,4,2
Delhi School of Music,2.0,408,21,3,0,0.3872549019607843,0,6
Antonya Nelson,2.0,187,90,18,1,0.4919786096256685,10,10
1976 Preakness Stakes,2.0,121,209,3,0,0.5454545454545454,2,5
Chaos Field,2.0,321,59,10,1,0.3956386292834891,7,8
Human rights in São Tomé and Príncipe,2.0,948,310,32,4,0.3459915611814346,24,17
Atlético Nacional (Panama),2.0,366,16,1,2,0.30327868852459017,0,3
1514 in Norway,2.0,0,30,3,2,0,0,6
Destroyer of Worlds,2.0,101,51,4,2,0.48514851485148514,1,5
Emily Township,2.0,65,119,3,3,0.5076923076923077,1,5
Human brain development timeline,2.0,2184,188,64,2,0.266025641025641,26,21
Grama Vikas Kendra,2.0,762,81,3,1,0.3530183727034121,2,15
2008 FFSA Premier League,2.0,90,134,4,1,0.4888888888888889,1,3
John Yates Beall,2.0,647,61,3,3,0.3802163833075734,4,6
Georgia State Route 171,2.0,294,71,4,5,0.2789115646258503,1,6
Kitty Bransfield,2.0,181,59,5,1,0.4143646408839779,2,6
PBA Bowling Tour: 2007–08 season,2.0,106,149,8,0,0.5566037735849056,6,6
2009 FC Gold Pride season,2.0,124,212,17,1,0.3951612903225806,2,26
Scott Seabol,2.0,357,46,7,1,0.39775910364145656,1,3
Khilona,2.0,470,96,5,1,0.40425531914893614,3,7
Muskeg,2.0,721,67,6,6,0.4119278779472954,3,6
Alien vs. Predator (soundtrack),2.0,187,122,9,1,0.5294117647058824,6,5
Bangarupalyam,2.0,58,113,8,1,0.46551724137931033,5,3
"Bradwell, Milton Keynes",2.0,474,120,10,3,0.46624472573839665,3,7
Abraham ben Abraham,2.0,2276,159,15,2,0.30404217926186294,11,11
KPAL-LP,2.0,327,235,8,0,0.43119266055045874,0,3
Kuo Tai-yuan,2.0,706,175,5,1,0.40509915014164305,0,9
Bivariate analysis,2.0,411,293,3,1,0.31630170316301703,2,3
Aries (comics),2.0,1374,131,3,0,0.2780203784570597,15,15
Aída Cartagena Portalatín,2.0,415,21,10,0,0.4795180722891566,0,3
12th Congress of the Philippines,2.0,94,665,8,8,0.3723404255319149,0,13
Jacob Froese,2.0,348,37,4,0,0.39080459770114945,4,1
Brasher Doubloon,2.0,319,42,11,1,0.4827586206896552,8,5
Dolphin (comics),2.0,1012,132,6,1,0.4041501976284585,7,11
Chinchilla rabbit,2.0,415,38,10,3,0.327710843373494,5,7
Allen Central High School,2.0,479,99,18,0,0.4279749478079332,8,7
Texas State Highway 36,2.0,295,343,3,5,0.34576271186440677,2,5
Chixoy-Polochic Fault,2.0,195,144,6,0,0.4564102564102564,3,3
Marcelo Caetano,2.0,1961,222,20,2,0.34115247322794495,17,7
Terry Mosher,2.0,393,179,14,0,0.48091603053435117,4,6
Immature ovum,2.0,462,179,7,1,0.2597402597402597,4,7
108th Air Refueling Squadron,2.0,1759,1001,11,19,0.30983513359863557,3,16
Ben Hur (2003 film),2.0,274,111,4,1,0.38321167883211676,1,5
2011 Cannes Film Festival,2.0,502,530,57,4,0.4163346613545817,36,25
"Mayfair, Saskatoon",2.0,628,173,22,3,0.3869426751592357,13,13
ANT1 Group,2.0,316,67,6,1,0.39556962025316456,1,12
Franny's Feet,2.0,417,186,12,0,0.3908872901678657,2,12
`Alí-Akbar Furútan,2.0,246,77,8,2,0.44715447154471544,3,5
Additional Protocol to the Convention on Cybercrime,2.0,399,162,7,0,0.3634085213032581,6,1
Barry Austin,2.0,433,40,7,0,0.4618937644341801,6,2
Baruipur subdivision,2.0,749,244,8,2,0.2523364485981308,5,12
Buddy Lee,2.0,629,44,13,1,0.4467408585055644,1,5
Agent Cody Banks 2: Destination London,2.0,704,53,4,1,0.37642045454545453,2,7
"(guitar, vocal)",2.0,255,91,4,2,0.3686274509803922,0,2
Farida Jalal,2.0,850,255,12,1,0.3411764705882353,2,8
Zero-day (computing),2.0,1319,102,19,0,0.3191811978771797,12,15
1966 VFL Grand Final,2.0,287,422,5,2,0.4146341463414634,1,8
Army of Zero,2.0,471,20,6,1,0.3078556263269639,3,5
"Fijian general election, 1982",2.0,180,94,3,2,0.4388888888888889,1,2
Embroidery stitch,2.0,824,160,3,7,0.220873786407767,0,11
Decompression illness,2.0,194,184,1,2,0.30927835051546393,0,7
Alcestis (play),2.0,1427,181,12,2,0.3566923615977575,13,10
100% De Dana Dan,2.0,1,1,1,1,1,1,1
1998 Bank of America robbery,2.0,1521,239,6,2,0.30703484549638393,0,6
Accept (organization),2.0,222,43,4,5,0.481981981981982,1,3
Antwerp Mannerism,2.0,268,31,4,3,0.373134328358209,2,2
Robert P. Baldwin,2.0,380,73,2,27,0.4236842105263158,4,10
Beautiful Son,2.0,1223,171,10,1,0.31561733442354867,15,11
Antinoopolis,2.0,1331,99,20,3,0.37415477084898574,6,9
Fundamental Agreement Between the Holy See and the State of Israel,2.0,692,66,17,0,0.3309248554913295,15,8
Anatoma munieri,2.0,121,41,7,0,0.45454545454545453,3,5
Jiří Bartl,2.0,106,58,8,0,0.5188679245283019,5,2
Michael Jackson (journalist),2.0,191,38,9,2,0.4397905759162304,6,2
Dëshmorët e Kombit Boulevard,2.0,105,173,5,4,0.5047619047619047,1,1
Mabaruma,2.0,75,156,3,2,0.52,1,2
Amistad National Recreation Area,2.0,405,319,16,7,0.47160493827160493,11,6
Hardhead (Transformers),2.0,298,1450,8,2,0.4463087248322148,4,149
Interstate 76 in Ohio,2.0,264,115,7,5,0.36363636363636365,2,6
A Warning to the Hindus,2.0,365,72,2,0,0.42191780821917807,2,6
Age of consent reform,2.0,1916,283,42,2,0.25835073068893527,48,21
D2 Technologies,2.0,119,45,11,1,0.5462184873949579,6,5
Collinwood,2.0,889,123,17,2,0.39595050618672667,12,7
Gwendoline Neligan,2.0,278,13,2,0,0.43884892086330934,2,2
2012 FIFRA Club Championship,2.0,59,26,2,0,0.4915254237288136,1,7
Kathy Boudin,2.0,1269,130,33,0,0.3814026792750197,20,9
The Necessity of Atheism,2.0,363,89,12,4,0.38292011019283745,4,6
Vedic mathematics (book),2.0,743,74,7,1,0.3135935397039031,10,5
"Equatorial Guinean legislative election, 2013",2.0,95,80,10,4,0.5368421052631579,3,6
Arrowhead Library System,2.0,234,34,7,0,0.3888888888888889,6,6
Lansdown Cricket Club Ground,2.0,197,31,7,1,0.29949238578680204,6,6
Ibeku,2.0,1137,106,5,0,0.3386103781882146,0,2
"Aberdeen Gardens (Hampton, Virginia)",2.0,308,185,11,1,0.38961038961038963,5,6
Guinean syli,2.0,115,24,18,2,0.3826086956521739,0,2
Birds of Knowledge of Good and Evil,2.0,514,238,8,1,0.4027237354085603,3,7
Aigis (Persona),2.0,1116,97,12,1,0.3467741935483871,13,7
Anonymous function,2.0,4193,306,30,1,0.15931314094920104,21,58
G minor,2.0,221,151,2,5,0.37104072398190047,3,5
LGBT rights in Moldova,2.0,765,273,24,7,0.3738562091503268,19,15
Grant Markham,2.0,548,35,4,2,0.38686131386861317,0,2
Cinnamomum camphora,2.0,718,113,10,4,0.4178272980501393,10,10
2004 UCI Track Cycling World Championships – Women's points race,2.0,87,100,3,4,0.5402298850574713,1,2
Journal of Physical Oceanography,2.0,73,47,9,1,0.5342465753424658,1,3
1929 College Football All-America Team,2.0,164,256,4,0,0.4634146341463415,16,14
Air Force Falcons boxing,2.0,82,71,6,3,0.524390243902439,0,3
Arwal,2.0,211,90,10,2,0.44549763033175355,4,7
George Frederick Kunz,2.0,682,109,46,5,0.35777126099706746,8,8
Afonso Gonçalves Baldaia,2.0,807,73,10,1,0.379182156133829,4,8
Tully Banta-Cain,2.0,842,262,13,1,0.30997624703087884,5,10
Linear amplifier,2.0,619,74,3,4,0.3344103392568659,2,7
Robert Davies-Jones,2.0,129,27,3,1,0.4883720930232558,2,3
"Gustavia, Saint Barthélemy",2.0,423,130,11,5,0.47754137115839246,1,8
Jayee Rajguru,2.0,770,43,9,1,0.36753246753246754,4,9
Lonavla,2.0,1117,275,26,12,0.3446732318710833,13,15
Moussoro,2.0,150,23,3,4,0.46,1,1
Deal or No Deal (New Zealand),2.0,1101,122,5,2,0.27520435967302453,0,10
Cornell Law Review,2.0,528,145,5,1,0.3712121212121212,1,5
Mikhail Artsybashev,2.0,660,75,25,3,0.41515151515151516,3,8
2008 Japan Series,2.0,418,377,6,3,0.3827751196172249,0,11
Gary Dornhoefer,2.0,537,372,7,1,0.39106145251396646,1,7
"14th Regiment Armory, Brooklyn",2.0,213,279,14,5,0.49765258215962443,6,4
38th General Assembly of Nova Scotia,2.0,180,74,1,1,0.3611111111111111,0,3
1980 World Weightlifting Championships,2.0,83,144,3,0,0.3855421686746988,0,5
Bath Half Marathon,2.0,354,137,13,3,0.4011299435028249,9,5
Baade (crater),2.0,134,39,9,3,0.4253731343283582,0,1
Jordan Clarkson,2.0,603,186,25,1,0.3449419568822554,15,14
"Boulder Flats, Wyoming",2.0,377,86,7,1,0.3660477453580902,4,5
Abas I of Armenia,2.0,311,36,0,1,0.4340836012861736,3,2
Australian citizenship test,2.0,500,41,16,1,0.35,8,6
Burma Campaign UK,2.0,712,114,12,4,0.40168539325842695,3,7
Billy Ireland Cartoon Library & Museum,2.0,1246,366,24,1,0.3611556982343499,9,13
Phelsuma grandis,2.0,1001,56,5,6,0.34865134865134867,4,12
Bir Bikram Kishore Debbarman,2.0,169,71,3,10,0.41420118343195267,0,5
Aphrahat,2.0,1184,128,18,2,0.33952702702702703,4,8
Greece national under-17 football team,2.0,61,190,4,3,0.3770491803278688,1,5
Caedite eos. Novit enim Dominus qui sunt eius.,2.0,583,66,8,0,0.3910806174957118,9,5
Blogorrah.com,2.0,475,42,8,0,0.38526315789473686,7,3
1991 Japanese Touring Car Championship season,2.0,120,99,3,0,0.525,2,5
Justin Germano,2.0,987,197,22,5,0.3120567375886525,13,17
The Cyber House Rules,2.0,391,67,6,1,0.39641943734015345,1,6
Chichester railway station,2.0,125,148,11,5,0.432,0,1
21-Two One-,2.0,1237,116,20,3,0.3257881972514147,14,9
Yūka Sasaki,2.0,28,11,4,0,0.6428571428571429,1,3
Jason Epstein,2.0,488,60,20,1,0.4651639344262295,6,6
1959 Mediterranean Games,2.0,115,81,3,0,0.45217391304347826,0,5
Ivington,2.0,140,59,4,1,0.5,3,5
Omar de la Cruz,2.0,476,53,6,0,0.4117647058823529,3,7
"Canaan, New Hampshire",2.0,969,200,22,8,0.38596491228070173,13,8
Durbar Mahila Samanwaya Committee,2.0,805,89,17,1,0.38633540372670805,10,6
Bhishma,2.0,3482,219,13,11,0.24124066628374496,7,14
Waytha Moorthy Ponnusamy,2.0,749,91,13,1,0.40720961281708945,14,10
Frederick Anson,2.0,407,67,13,1,0.3808353808353808,13,3
Esenboğa International Airport attack,2.0,498,91,14,3,0.41967871485943775,15,9
A Voyage to Terra Australis,2.0,507,51,21,3,0.34911242603550297,6,8
St. Philip's College (United States),2.0,493,35,4,2,0.4259634888438134,0,8
Everleigh Club,2.0,3140,105,10,4,0.2863057324840764,12,14
1835 Concepción earthquake,2.0,632,102,10,2,0.39556962025316456,8,9
Derrick Walser,2.0,287,41,9,1,0.4529616724738676,3,3
Don Hertzfeldt,2.0,4922,311,69,3,0.24136529865908168,63,21
Hari Prasad,2.0,649,257,6,1,0.40061633281972264,1,5
1916–17 Blackpool F.C. season,2.0,850,184,2,0,0.2964705882352941,2,11
Defense of Van (1896),2.0,287,69,2,1,0.39372822299651566,2,6
Gana Bala,2.0,381,285,77,1,0.43832020997375326,74,12
1893–94 in English football,2.0,694,275,6,0,0.3919308357348703,7,13
Adhyayam Onnu Muthal,2.0,214,36,5,0,0.46261682242990654,3,6
Therapeutic horseback riding,2.0,1210,97,17,0,0.3239669421487603,23,16
Columnaris,2.0,475,104,7,2,0.4442105263157895,4,8
Maharajganj district,2.0,257,232,12,1,0.46303501945525294,5,9
Blackfield,2.0,1708,197,53,1,0.2827868852459016,45,17
Elizabeth Public Schools,2.0,892,274,75,3,0.35874439461883406,70,8
John Bale (baseball),2.0,477,76,9,1,0.41509433962264153,3,8
Mark Anderson (politician),2.0,158,172,8,0,0.4620253164556962,3,6
Floris of London,2.0,256,21,3,2,0.4921875,0,1
R-Kal Truluck,2.0,590,108,9,1,0.37966101694915255,0,6
First Battle of Champagne,2.0,952,362,11,3,0.30987394957983194,9,14
Robert Bauer (mycologist),2.0,197,37,4,1,0.4720812182741117,2,2
Flameout,2.0,422,125,9,0,0.43601895734597157,9,5
Till the Next Goodbye,2.0,370,42,4,0,0.42162162162162165,2,2
Ilulissat Declaration,2.0,279,125,8,2,0.44802867383512546,4,2
"Bountiful, Utah",2.0,879,278,33,4,0.3845278725824801,8,12
Altaic homeland,2.0,3760,668,35,3,0.26276595744680853,38,29
Amoral (band),2.0,1286,151,41,6,0.3234836702954899,22,17
All Ceylon Malay Political Union,2.0,116,20,6,1,0.4396551724137931,6,1
Sergio Rodríguez,2.0,529,355,31,4,0.34782608695652173,11,16
Abbey of Onze-Lieve-Vrouw ter Nieuwe Plant,2.0,436,45,6,0,0.41284403669724773,4,5
"Paraguayan general election, 2013",2.0,516,166,32,5,0.45155038759689925,13,11
Academics Plus High Charter School,2.0,259,47,8,2,0.46332046332046334,3,7
Calmecac,2.0,319,69,6,1,0.41379310344827586,9,2
History of the Seventh-day Adventist Church,2.0,3745,591,55,8,0.27770360480640854,47,33
Impossible Dream (advertisement),2.0,548,56,3,1,0.45985401459854014,0,7
A New Conception,2.0,74,51,2,1,0.6351351351351351,2,5
James Adams (character),2.0,2454,191,2,2,0.29584352078239606,2,17
Artin billiard,2.0,304,33,1,1,0.3190789473684211,0,2
144th Guards Motor Rifle Division,2.0,601,557,3,1,0.37603993344425957,1,5
Laurent Chappis,2.0,230,23,6,0,0.46956521739130436,1,2
Collaboration-oriented architecture,2.0,196,32,12,1,0.3979591836734694,5,6
Charles de Bovelles,2.0,456,36,13,1,0.4605263157894737,0,5
Armenian-controlled territories surrounding Nagorno-Karabakh,2.0,796,198,46,1,0.3128140703517588,53,7
Billboard (magazine),2.0,951,313,29,5,0.35436382754994744,19,11
1979 Firecracker 400,2.0,282,70,3,1,0.5,3,5
Bernard Edwards,2.0,659,180,16,1,0.41274658573596357,2,10
1st Free French Division,2.0,441,110,3,1,0.3900226757369615,8,6
Georgetown International Academy,2.0,252,139,10,0,0.47619047619047616,3,8
Fin Tutuola,2.0,1163,183,6,5,0.3688736027515047,15,8
Demographics of Malawi,2.0,449,154,5,1,0.41870824053452116,4,18
Reva Brooks,2.0,405,34,4,1,0.39753086419753086,5,1
1997–98 Coventry City F.C. season,2.0,232,448,6,0,0.4525862068965517,6,17
Feathertail glider,2.0,342,262,14,4,0.4415204678362573,5,5
Russian roulette,2.0,471,148,22,2,0.35456475583864117,25,7
Epic (web browser),2.0,210,257,16,4,0.48095238095238096,9,6
William Hovell,2.0,1178,80,11,1,0.3395585738539898,8,6
Yemen national football team,2.0,2141,644,45,4,0.21718822979915928,35,21
Charles Calvert (painter),2.0,351,42,6,1,0.42735042735042733,5,5
El Camino Real de los Tejas National Historic Trail,2.0,353,310,11,3,0.40793201133144474,3,6
Bahia,2.0,5394,554,33,30,0.2886540600667408,8,34
2011 ICC European T20 Championship Division Three,2.0,97,190,19,0,0.4639175257731959,1,15
Space Shuttle America,2.0,563,141,4,3,0.3552397868561279,0,6
1991 Rugby World Cup – Africa qualification,2.0,42,92,5,1,0.5238095238095238,0,2
Dead Boy Detectives,2.0,740,115,4,2,0.3527027027027027,2,3
2013 AIBA World Boxing Championships – Super heavyweight,2.0,25,86,1,1,0.6,0,8
Latin Wikipedia,2.0,821,172,121,6,0.3471376370280146,9,7
Austria in the Eurovision Song Contest 1990,2.0,164,267,4,1,0.42073170731707316,1,6
Law & Order: Special Victims Unit (season 3),2.0,1227,301,20,3,0.3797881010594947,17,11
Reliance Anil Dhirubhai Ambani Group,2.0,1021,334,10,9,0.3809990205680705,6,24
Falkland Palace,2.0,2395,215,11,9,0.2968684759916493,14,13
Pycnodonte,2.0,195,63,8,6,0.40512820512820513,5,3
El Rancho Vegas,2.0,493,258,10,3,0.42190669371196754,12,7
Academic Karelia Society,2.0,638,51,1,2,0.3949843260188088,1,6
Viktor Afanasyev (cosmonaut),2.0,436,63,2,6,0.4036697247706422,0,7
Early Times,2.0,373,66,7,3,0.3512064343163539,3,7
Market Drayton Town F.C.,2.0,587,187,7,2,0.3696763202725724,1,13
Carbonari,2.0,2470,169,14,1,0.30526315789473685,15,16
Armenian–Assyrian relations,2.0,406,79,2,1,0.3793103448275862,2,5
Bob Dylan's Greatest Hits Vol. II,2.0,1360,257,9,2,0.2977941176470588,5,7
Haakon Magnusson of Norway,2.0,221,114,4,0,0.4434389140271493,3,1
Evergreen (The Twilight Zone),2.0,562,71,4,1,0.3416370106761566,0,5
.308 Winchester,2.0,699,268,14,9,0.4263233190271817,16,7
AutoTRAX DEX,2.0,205,15,8,0,0.424390243902439,0,1
Wurzweiler School of Social Work,2.0,271,44,5,0,0.5202952029520295,0,2
321 series,2.0,107,101,3,5,0.616822429906542,0,7
CDA Investment Technologies,2.0,456,51,2,0,0.3881578947368421,11,5
R2-D2,2.0,1628,498,22,3,0.3415233415233415,11,20
Kamov Ka-15,2.0,87,82,6,2,0.632183908045977,3,6
100 höjdare,2.0,458,128,1,2,0.34934497816593885,0,5
"Arendahl Township, Fillmore County, Minnesota",2.0,335,98,5,1,0.34626865671641793,3,3
Josh Evans (defensive back),2.0,353,204,8,3,0.42776203966005666,4,7
Wayne Biggins,2.0,524,171,12,0,0.383587786259542,8,6
2007–08 Israeli Premier League,2.0,158,318,4,1,0.5316455696202531,0,16
Riverside Drive (Ottawa),2.0,233,150,8,2,0.4291845493562232,1,5
Alstom Metropolis C830,2.0,339,113,5,6,0.4365781710914454,2,9
Cardiac glands,2.0,746,206,16,5,0.26273458445040215,7,8
Apollo PGNCS,2.0,796,80,2,1,0.3178391959798995,1,7
Azerbaijan in the Eurovision Song Contest 2009,2.0,804,335,34,2,0.35945273631840796,27,14
Cyanide & Happiness,2.0,1741,215,50,3,0.3555427914991384,4,22
Jekafo,2.0,44,169,6,2,0.5454545454545454,1,2
University College of Engineering,2.0,245,24,4,1,0.4122448979591837,0,3
Cell Phone (film),2.0,425,74,7,4,0.4470588235294118,4,7
Chiesa di San Cataldo,2.0,301,33,4,2,0.4219269102990033,1,5
Kirby's Avalanche,2.0,624,110,9,2,0.33653846153846156,3,8
Communist Party of India (Marxist–Leninist) People's War,2.0,775,97,18,1,0.36258064516129035,18,11
New Democratic Party of Prince Edward Island,2.0,902,246,8,3,0.328159645232816,2,11
"Arthur ""Bugs"" Baer",2.0,516,48,6,0,0.43992248062015504,4,3
Kananga Mine,2.0,222,25,5,1,0.4594594594594595,4,3
Australian College of Educators,2.0,437,35,4,1,0.3501144164759725,1,7
1943 Stanley Cup Finals,2.0,107,390,4,0,0.42990654205607476,0,8
Robert A. Baker,2.0,744,123,37,0,0.40591397849462363,20,8
